magnitude,depth,cdi,mmi,sig,alert
6.88,89.00,7.00,6.00,-94.00,yellow
6.61,13.00,6.00,7.00,-108.00,yellow
8.06,27.00,8.00,7.00,49.00,yellow
6.50,9.00,8.00,7.00,-31.00,yellow
7.39,44.00,8.00,7.00,-124.00,yellow
7.48,89.00,7.00,6.00,-48.00,yellow
7.17,20.00,7.00,7.00,105.00,yellow
6.53,12.00,8.00,8.00,-36.00,yellow
7.20,22.00,8.00,7.00,-79.00,yellow
6.93,36.00,6.00,6.00,9.00,yellow
6.75,12.00,8.00,7.00,-71.00,yellow
6.94,41.00,6.00,6.00,22.00,yellow
6.95,36.00,6.00,6.00,9.00,yellow
6.51,10.00,6.00,7.00,-110.00,yellow
6.50,10.00,6.00,7.00,-112.00,yellow
7.45,36.00,7.00,7.00,36.00,yellow
6.91,26.00,8.00,8.00,-127.00,yellow
7.06,138.00,6.00,6.00,55.00,yellow
7.66,80.00,8.00,7.00,-113.00,yellow
7.59,28.00,8.00,6.00,-115.00,yellow
7.62,48.00,8.00,8.00,-124.00,yellow
6.61,10.00,8.00,7.00,-74.00,yellow
6.50,9.00,8.00,7.00,-29.00,yellow
6.90,8.00,8.00,8.00,117.00,yellow
8.20,17.00,9.00,6.00,8.00,yellow
6.67,15.00,7.00,7.00,-102.00,yellow
7.41,23.00,9.00,7.00,-80.00,yellow
6.60,7.00,7.00,7.00,37.00,yellow
7.34,32.00,7.00,7.00,30.00,yellow
6.90,28.00,8.00,6.00,106.00,yellow
7.41,25.00,8.00,7.00,0.00,yellow
7.73,22.00,8.00,8.00,34.00,yellow
6.81,61.00,6.00,6.00,-115.00,yellow
6.82,38.00,6.00,6.00,12.00,yellow
7.35,123.00,7.00,7.00,-80.00,yellow
6.72,12.00,7.00,7.00,-67.00,yellow
6.78,77.00,6.00,6.00,-105.00,yellow
6.90,108.00,5.00,6.00,44.00,yellow
7.13,18.00,9.00,7.00,-79.00,yellow
6.66,17.00,6.00,7.00,-98.00,yellow
7.41,24.00,8.00,7.00,-81.00,yellow
6.75,15.00,7.00,7.00,-112.00,yellow
7.19,21.00,7.00,7.00,104.00,yellow
6.81,14.00,8.00,7.00,-70.00,yellow
7.47,24.00,9.00,7.00,-80.00,yellow
7.26,23.00,8.00,7.00,-6.00,yellow
6.90,9.00,8.00,8.00,118.00,yellow
7.17,45.00,7.00,6.00,-115.00,yellow
7.89,93.00,8.00,6.00,-52.00,yellow
6.52,9.00,7.00,7.00,-103.00,yellow
6.54,14.00,6.00,7.00,-105.00,yellow
7.58,116.00,7.00,7.00,-60.00,yellow
6.71,12.00,5.00,7.00,-42.00,yellow
6.73,18.00,7.00,7.00,-99.00,yellow
7.30,22.00,9.00,7.00,8.00,yellow
7.74,20.00,8.00,7.00,-3.00,yellow
6.50,11.00,7.00,7.00,-45.00,yellow
7.14,20.00,8.00,7.00,-110.00,yellow
6.50,10.00,6.00,7.00,-113.00,yellow
8.12,34.00,8.00,7.00,-28.00,yellow
7.60,35.00,9.00,7.00,-124.00,yellow
8.14,25.00,9.00,8.00,52.00,yellow
7.13,32.00,9.00,8.00,68.00,yellow
6.90,19.00,9.00,7.00,111.00,yellow
7.37,32.00,8.00,7.00,14.00,yellow
7.09,27.00,7.00,6.00,-2.00,yellow
7.06,143.00,5.00,6.00,8.00,yellow
7.65,55.00,8.00,7.00,-115.00,yellow
7.29,119.00,7.00,7.00,61.00,yellow
6.91,22.00,7.00,7.00,-7.00,yellow
8.45,20.00,8.00,7.00,0.00,yellow
7.58,38.00,8.00,7.00,-127.00,yellow
7.00,42.00,6.00,6.00,27.00,yellow
6.59,13.00,6.00,7.00,-108.00,yellow
7.34,21.00,8.00,7.00,-31.00,yellow
6.50,9.00,7.00,7.00,-106.00,yellow
8.23,18.00,9.00,7.00,2.00,yellow
7.81,129.00,8.00,7.00,-43.00,yellow
7.75,136.00,8.00,6.00,-30.00,yellow
8.06,32.00,8.00,7.00,-28.00,yellow
6.90,13.00,9.00,8.00,116.00,yellow
7.64,13.00,9.00,6.00,19.00,yellow
8.33,21.00,9.00,7.00,1.00,yellow
7.25,42.00,7.00,6.00,-115.00,yellow
7.91,23.00,8.00,8.00,40.00,yellow
7.65,23.00,7.00,8.00,32.00,yellow
6.87,11.00,9.00,7.00,13.00,yellow
7.85,93.00,8.00,6.00,-51.00,yellow
7.48,142.00,7.00,6.00,120.00,yellow
7.04,51.00,7.00,6.00,-115.00,yellow
6.50,9.00,9.00,8.00,-29.00,yellow

